subject,body,label
Your Invoice from Acme Consulting,"Hi, your order #48213 has shipped and is expected to arrive in 3-5 business days. Thanks for shopping with us.",safe
Project Timeline Update,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
IRS Tax Refund Pending - Action Needed,URGENT: Your mailbox has exceeded its storage limit. Click http://account-update-now.biz/login immediately to prevent your account from being deactivated.,phishing
Your PayPal Account Has Been Limited,You have a pending refund of $284.50. Verify your bank details at http://secure-verify-account.com/login to receive your payment today.,phishing
You've Won a $1000 Gift Card!,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://amaz0n-support.com/confirm or your account will be closed.,phishing
Urgent: Verify Your Account Now,Congratulations! You have won a prize. Click http://appIe-id-locked.com/restore now and claim your reward before this limited time offer expires.,phishing
Your Invoice from Acme Consulting,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Final Notice: Payment Failed,"Dear valued customer, our records show your information needs updating. Click http://secure-verify-account.com/login and enter your login credentials to avoid losing access.",phishing
Your PayPal Account Has Been Limited,"Dear valued customer, our records show your information needs updating. Click http://appIe-id-locked.com/restore and enter your login credentials to avoid losing access.",phishing
Your PayPal Account Has Been Limited,We were unable to process your recent payment. Update your billing details at http://secure-verify-account.com/login immediately to avoid service interruption.,phishing
Project Timeline Update,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
IRS Tax Refund Pending - Action Needed,Congratulations! You have won a prize. Click http://bank-login-verify.info/auth now and claim your reward before this limited time offer expires.,phishing
Your Invoice from Acme Consulting,Welcome aboard! We're excited to have you join the team. Your manager will reach out with onboarding details.,safe
Action Required: Unusual Login Detected,"Dear valued customer, our records show your information needs updating. Click http://secure-verify-account.com/login and enter your login credentials to avoid losing access.",phishing
Reminder: Dentist Appointment Tomorrow,"Good morning, reminder that the office will be closed on Monday for the holiday.",safe
Flight Confirmation for Your Upcoming Trip,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Final Notice: Payment Failed,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://appIe-id-locked.com/restore or your account will be closed.,phishing
Your Account Has Been Suspended,We were unable to process your recent payment. Update your billing details at http://amaz0n-support.com/confirm immediately to avoid service interruption.,phishing
Weekly Team Meeting Notes,"Hi, your order #48213 has shipped and is expected to arrive in 3-5 business days. Thanks for shopping with us.",safe
Action Required: Unusual Login Detected,You have a pending refund of $284.50. Verify your bank details at http://irs-gov-refund.net/claim to receive your payment today.,phishing
Flight Confirmation for Your Upcoming Trip,"Hi, your order #48213 has shipped and is expected to arrive in 3-5 business days. Thanks for shopping with us.",safe
Welcome to the Team!,"Hi, just following up on our conversation from last week. Let me know if you have any questions.",safe
Your PayPal Account Has Been Limited,Your package delivery failed due to an incomplete address. Confirm your details at http://amaz0n-support.com/confirm within 48 hours or the package will be returned.,phishing
Flight Confirmation for Your Upcoming Trip,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Reminder: Dentist Appointment Tomorrow,"Hi, your order #48213 has shipped and is expected to arrive in 3-5 business days. Thanks for shopping with us.",safe
Flight Confirmation for Your Upcoming Trip,"Hello, your subscription renewal receipt is attached for your records. No action is needed.",safe
Weekly Team Meeting Notes,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
Security Alert: Update Your Password Immediately,We were unable to process your recent payment. Update your billing details at http://amaz0n-support.com/confirm immediately to avoid service interruption.,phishing
Welcome to the Team!,"Hey, are you free for lunch on Friday? Thinking about trying that new place downtown.",safe
Action Required: Unusual Login Detected,Your account has been temporarily locked. Please login at http://account-update-now.biz/login to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Your Account Has Been Suspended,This is an urgent security notice. Someone tried to access your account from an unrecognized device. Verify now at http://account-update-now.biz/login or your account will be closed.,phishing
You've Won a $1000 Gift Card!,We were unable to process your recent payment. Update your billing details at http://192.168.44.21/verify immediately to avoid service interruption.,phishing
Your Package Could Not Be Delivered,Congratulations! You have won a prize. Click http://irs-gov-refund.net/claim now and claim your reward before this limited time offer expires.,phishing
Security Alert: Update Your Password Immediately,Your account has been temporarily locked. Please login at http://amaz0n-support.com/confirm to restore access. Failure to act within 24 hours will result in permanent suspension.,phishing
Lunch Plans for Friday?,"Hi there, just a reminder that your dentist appointment is scheduled for tomorrow at 10am. See you then.",safe
Your Order Has Shipped,"Hi, thanks for your feedback on the draft. I've made the changes you suggested.",safe
You've Won a $1000 Gift Card!,"Dear valued customer, our records show your information needs updating. Click http://192.168.44.21/verify and enter your login credentials to avoid losing access.",phishing
Q3 Budget Review Attached,"Hello, this confirms your flight from SFO to JFK departing next Tuesday at 7:45am. Have a great trip.",safe
IRS Tax Refund Pending - Action Needed,Act now! Your subscription will be cancelled unless you confirm your payment information at http://192.168.44.21/verify within 24 hours.,phishing
Reminder: Dentist Appointment Tomorrow,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
Flight Confirmation for Your Upcoming Trip,"Hi, the report you requested is attached. Let me know if you'd like me to walk you through it.",safe
Project Timeline Update,"Hi all, here is our monthly newsletter with updates from around the company. Enjoy the read.",safe
You've Won a $1000 Gift Card!,URGENT: Your mailbox has exceeded its storage limit. Click http://amaz0n-support.com/confirm immediately to prevent your account from being deactivated.,phishing
